                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0249,                 1.0836,                0.87434,                0.97592,                0.99378,                      1,                  0.995,                0.76007,                0.99378,                      1,                  0.995,                0.72291,                0.94284,                 1.4249,                0.79332,                0.90406,              0.0011288,              0.0011288,              0.0011288
                     46,                0.95357,                0.98927,                0.83226,                0.94333,                0.99346,                      1,                  0.995,                0.77358,                0.99346,                      1,                  0.995,                0.74053,                0.88299,                 1.3691,                0.74035,                 0.8977,               0.001109,               0.001109,               0.001109
                     47,                0.86808,                0.98509,                0.82217,                 0.9372,                0.99354,                      1,                  0.995,                0.76199,                0.99354,                      1,                  0.995,                0.73967,                0.86994,                 1.3482,                0.75058,                 0.8981,              0.0010892,              0.0010892,              0.0010892
                     48,                0.89063,                 1.0011,                0.76668,                0.92937,                0.99296,                      1,                  0.995,                0.75225,                0.99296,                      1,                  0.995,                  0.692,                0.87652,                 1.5038,                0.80357,                0.90506,              0.0010694,              0.0010694,              0.0010694
                     49,                0.99526,                 1.2201,                0.78079,                0.98757,                0.99312,                      1,                  0.995,                0.72915,                0.99312,                      1,                  0.995,                0.69189,                0.91208,                 1.5806,                0.82214,                0.91329,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0091,                 1.0938,                0.84623,                 1.0215,                0.99332,                      1,                  0.995,                0.72192,                0.99332,                      1,                  0.995,                0.74148,                0.95635,                 1.4403,                0.84789,                0.91695,              0.0010298,              0.0010298,              0.0010298
                     51,                0.97379,                 1.0316,                0.83468,                0.98007,                0.99341,                      1,                  0.995,                0.69978,                0.99341,                      1,                  0.995,                0.77768,                 1.0154,                 1.2472,                0.79692,                0.92368,                0.00101,                0.00101,                0.00101
                     52,                 1.0117,                 1.0793,                0.84095,                0.99343,                0.99323,                      1,                  0.995,                0.70125,                0.99323,                      1,                  0.995,                0.78405,                0.99735,                 1.2404,                0.78846,                 0.9181,              0.0009902,              0.0009902,              0.0009902
                     53,                0.95923,                 1.1775,                0.79811,                0.96078,                0.99285,                      1,                  0.995,                 0.6978,                0.99285,                      1,                  0.995,                0.76769,                0.97643,                 1.2917,                0.78611,                0.90957,              0.0009704,              0.0009704,              0.0009704
                     54,                0.90938,                 1.1705,                0.73958,                0.96087,                0.99247,                      1,                  0.995,                0.72838,                0.99247,                      1,                  0.995,                0.75994,                 0.9506,                 1.3742,                 0.7866,                0.91031,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85302,                0.97738,                0.75551,                0.95616,                0.99402,                      1,                  0.995,                0.73033,                0.99402,                      1,                  0.995,                   0.74,                0.90271,                 1.4765,                0.74146,                0.90431,              0.0009308,              0.0009308,              0.0009308
                     56,                0.89262,                0.99361,                 0.7278,                0.93294,                 0.9938,                      1,                  0.995,                0.76375,                 0.9938,                      1,                  0.995,                0.72345,                0.88678,                 1.4958,                0.70272,                0.90334,               0.000911,               0.000911,               0.000911
